, Days_on_Market,Bathrooms,Bedrooms,City,Monlthly Rental,SQFT,State,Zip_Code,streetAddress
0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3 days ago,2,2, New York ,3000,NA,NY ,10035,178 E 117th St APT 6C
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3 days ago,1,2, New York ,2425,1000,NY ,10035,64 E 119th St FL 3
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7 days ago,1,2, New York ,2450,750,NY ,10035,1990 Lexington Ave APT 32E
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,8 days ago,7,7, New York ,19995,4160,NY ,10035,(Undisclosed Address)
10,8 days ago,1,1, New York ,1625,NA,NY ,10035,2335 1st Ave # 3E
11,8 days ago,NA,1, New York ,1500,NA,NY ,10035,2331 1st Ave APT 5D
12,8 days ago,NA,1, New York ,1925,NA,NY ,10035,455 E 118th St APT 6W
13,8 days ago,2000,1, New York ,1400,NA,NY ,10035,1661 Park Ave
14,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,9 days ago,1,1, New York ,1675,900,NY ,10035,2310 1st Ave APT 4S
16,9 days ago,1,1, New York ,2695,750,NY ,10035,346 E 119th St APT 3B
17,9 days ago,1,2, New York ,2100,NA,NY ,10035,2115 5th Ave APT 4
18,10 days ago,1,2, New York ,1750,NA,NY ,10035,63 E 129th St # 3
19,10 days ago,1,1, New York ,1875,NA,NY ,10035,173 E 117th St APT 7
20,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,14 days ago,2,2, New York ,3100,NA,NY ,10035,1939 Madison Ave # GARDEN
24,14 days ago,2,4, New York ,3600,1200,NY ,10035,302 Pleasant Ave # 7
25,14 days ago,1,2, New York ,2599,NA,NY ,10035,60 E 118th St APT 3
26,15 days ago,1,1, New York ,2450,810,NY ,10035,232 E 118th St APT 5B
